"Name","Threat","Vulnerability","Consequence $$(UnitsMessage)","Prevention Cost $$(UnitsMessage)","Response Cost $$(UnitsMessage)","Risk Initial $$(UnitsMessage)","Risk Reduced $$(UnitsMessage)","Flow Consequence $$(UnitsMessage)","Prevention Allocation $$(UnitsMessage)","Response Allocation $$(UnitsMessage)","Attack Allocation $$(UnitsMessage)","Vulnerability Reduced","Consequence Reduced $$(UnitsMessage)","Calculated Threat","Weight","Weight x Objective","Degrees","Rank"
"Illinois","100.00","80.00","105.00","556.30","29.60","0.42","0.42","0.53","0.00","0.00","0.00","80.00","0.53","100.00","0.667","0.281","2","7"
"Indiana","100.00","80.00","48.00","254.10","13.50","0.00","0.04","0.00","0.00","0.00","0.00","80.00","0.05","100.00","0.667","0.027","2","12"
"Kentucky","100.00","80.00","17.00","90.00","4.80","0.48","0.48","0.60","0.00","0.00","0.00","80.00","0.60","100.00","1.000","0.480","3","6"
"Maryland","100.00","80.00","17.60","93.00","5.00","2.04","2.04","2.54","0.00","0.00","0.00","80.00","2.54","100.00","0.667","1.357","2","4"
"Missouri","100.00","80.00","123.00","651.60","34.70","0.42","0.42","0.53","0.00","0.00","0.00","80.00","0.53","100.00","0.333","0.141","1","10"
"New Jersey","100.00","80.00","79.90","423.60","22.50","6.40","6.40","8.00","0.00","0.00","0.00","80.00","8.00","100.00","0.333","2.133","1","2"
"Pennsylvania","100.00","80.00","98.90","524.30","27.90","9.28","9.28","11.60","0.00","0.00","0.00","80.00","11.60","100.00","1.000","9.280","3","1"
"Tennessee","100.00","80.00","19.30","102.50","5.50","0.00","0.04","0.00","0.00","0.00","0.00","80.00","0.05","100.00","0.333","0.013","1","14"
"West Virginia","100.00","80.00","18.00","95.40","5.10","1.44","1.44","1.80","0.00","0.00","0.00","80.00","1.80","100.00","1.000","1.440","3","3"
"Virginia","100.00","80.00","12.30","65.20","3.50","0.08","0.08","0.10","0.00","0.00","0.00","80.00","0.10","100.00","0.667","0.053","2","11"
"PA-NJ","100.00","80.00","8.00","42.40","2.30","6.40","6.40","8.00","0.00","0.00","0.00","80.00","8.00","100.00","0.333","2.133","1","2"
"PA-MD","100.00","80.00","1.80","9.30","13.80","1.44","1.44","1.80","0.00","0.00","0.00","80.00","1.80","100.00","0.333","0.480","1","5"
"PA-WV","100.00","80.00","1.80","9.50","0.50","1.44","1.44","1.80","0.00","0.00","0.00","80.00","1.80","100.00","0.333","0.480","1","6"
"WV-VA","100.00","80.00","1.20","6.50","0.30","0.08","0.08","0.10","0.00","0.00","0.00","80.00","0.10","100.00","0.333","0.027","1","13"
"VA-MD","100.00","80.00","1.20","6.50","0.30","0.60","0.60","0.74","0.00","0.00","0.00","80.00","0.74","100.00","0.333","0.199","1","8"
"WV-KY","100.00","80.00","1.70","9.00","0.50","0.48","0.48","0.60","0.00","0.00","0.00","80.00","0.60","100.00","0.333","0.160","1","9"
"KY-IN","100.00","80.00","1.70","9.00","0.50","0.00","0.04","0.00","0.00","0.00","0.00","80.00","0.05","100.00","0.333","0.013","1","14"
"IN-IL","100.00","80.00","4.80","25.40","1.40","0.42","0.42","0.53","0.00","0.00","0.00","80.00","0.53","100.00","0.333","0.141","1","10"
"IL-MO","100.00","80.00","10.50","55.60","3.00","0.42","0.42","0.53","0.00","0.00","0.00","80.00","0.53","100.00","0.333","0.141","1","10"
"KY-TN","100.00","80.00","1.70","9.00","0.50","0.00","0.04","0.00","0.00","0.00","0.00","80.00","0.05","100.00","0.333","0.013","1","14"
