"Name","Threat","Vulnerability","Consequence $$(UnitsMessage)","Prevention Cost $$(UnitsMessage)","Response Cost $$(UnitsMessage)","Risk Initial $$(UnitsMessage)","Risk Reduced $$(UnitsMessage)","Flow Consequence $$(UnitsMessage)","Prevention Allocation $$(UnitsMessage)","Response Allocation $$(UnitsMessage)","Attack Allocation $$(UnitsMessage)","Vulnerability Reduced","Consequence Reduced $$(UnitsMessage)","Calculated Threat","Weight","Weight x Objective","Degrees","Rank"
"Illinois","100.00","80.00","105.00","556.30","29.60","84.00","84.00","","0.00","0.00","0.00","80.00","105.00","100.00","0.667","56.000","2","2"
"Indiana","100.00","80.00","48.00","254.10","13.50","38.40","38.40","","0.00","0.00","0.00","80.00","48.00","100.00","0.667","25.600","2","4"
"Kentucky","100.00","80.00","17.00","90.00","4.80","13.60","13.60","","0.00","0.00","0.00","80.00","17.00","100.00","1.000","13.600","3","7"
"Maryland","100.00","80.00","17.60","93.00","5.00","14.08","14.08","","0.00","0.00","0.00","80.00","17.60","100.00","0.667","9.387","2","8"
"Missouri","100.00","80.00","123.00","651.60","34.70","98.40","98.40","","0.00","0.00","0.00","80.00","123.00","100.00","0.333","32.800","1","3"
"New Jersey","100.00","80.00","79.90","423.60","22.50","63.92","63.92","","0.00","0.00","0.00","80.00","79.90","100.00","0.333","21.307","1","5"
"Pennsylvania","100.00","80.00","98.90","524.30","27.90","79.12","79.12","","0.00","0.00","0.00","80.00","98.90","100.00","1.000","79.120","3","1"
"Tennessee","100.00","80.00","19.30","102.50","5.50","15.44","15.44","","0.00","0.00","0.00","80.00","19.30","100.00","0.333","5.147","1","10"
"West Virginia","100.00","80.00","18.00","95.40","5.10","14.40","14.40","","0.00","0.00","0.00","80.00","18.00","100.00","1.000","14.400","3","6"
"Virginia","100.00","80.00","12.30","65.20","3.50","9.84","9.84","","0.00","0.00","0.00","80.00","12.30","100.00","0.667","6.560","2","9"
"PA-NJ","100.00","80.00","8.00","42.40","2.30","6.40","6.40","","0.00","0.00","0.00","80.00","8.00","100.00","0.333","2.133","1","12"
"PA-MD","100.00","80.00","1.80","9.30","13.80","1.44","1.44","","0.00","0.00","0.00","80.00","1.80","100.00","0.333","0.480","1","14"
"PA-WV","100.00","80.00","1.80","9.50","0.50","1.44","1.44","","0.00","0.00","0.00","80.00","1.80","100.00","0.333","0.480","1","14"
"WV-VA","100.00","80.00","1.20","6.50","0.30","0.96","0.96","","0.00","0.00","0.00","80.00","1.20","100.00","0.333","0.320","1","16"
"VA-MD","100.00","80.00","1.20","6.50","0.30","0.96","0.96","","0.00","0.00","0.00","80.00","1.20","100.00","0.333","0.320","1","16"
"WV-KY","100.00","80.00","1.70","9.00","0.50","1.36","1.36","","0.00","0.00","0.00","80.00","1.70","100.00","0.333","0.453","1","15"
"KY-IN","100.00","80.00","1.70","9.00","0.50","1.36","1.36","","0.00","0.00","0.00","80.00","1.70","100.00","0.333","0.453","1","15"
"IN-IL","100.00","80.00","4.80","25.40","1.40","3.84","3.84","","0.00","0.00","0.00","80.00","4.80","100.00","0.333","1.280","1","13"
"IL-MO","100.00","80.00","10.50","55.60","3.00","8.40","8.40","","0.00","0.00","0.00","80.00","10.50","100.00","0.333","2.800","1","11"
"KY-TN","100.00","80.00","1.70","9.00","0.50","1.36","1.36","","0.00","0.00","0.00","80.00","1.70","100.00","0.333","0.453","1","15"
